ts,consumo_gas,producao,turno,gas/prod
2020-08-19 14:13:45,17.41938,329.522,TURNO 2,52.862570632613306
2020-08-19 14:18:41,19.45869,381.0217,TURNO 2,51.06976846725528
2020-08-19 14:23:47,21.05888,367.8678,TURNO 2,57.24578231636473
2020-08-19 14:28:43,20.877779999999998,440.853,TURNO 2,47.35769065879102
2020-08-19 14:33:40,20.20707,368.9113,TURNO 2,54.7748740686447
2020-08-19 14:38:46,18.76093,368.0936,TURNO 2,50.96782448811932
2020-08-19 14:43:42,18.613979999999998,410.9053,TURNO 2,45.29992677144831
2020-08-19 14:48:48,10.485430000000001,247.423,TURNO 2,42.37855817769569
2020-08-19 14:53:44,0.0,0.0,TURNO 2,0.0
2020-08-19 15:16:16,0.0,0.0,TURNO 2,0.0
2020-08-19 15:22:26,0.0,0.0,TURNO 2,0.0
2020-08-19 15:34:46,15.941320000000001,382.0699,TURNO 2,41.7235694306199
2020-08-19 15:39:42,25.33276,423.9039,TURNO 2,59.76062027266086
2020-08-19 15:44:38,22.38614,418.0175,TURNO 2,53.553116795349474
2020-08-19 15:49:45,23.17248,434.8589,TURNO 2,53.287353668051864
2020-08-19 15:54:41,22.96247,430.7761,TURNO 2,53.30488390604771
2020-08-19 15:59:48,18.599729999999997,247.0563,TURNO 2,75.28539041505923
2020-08-19 16:04:44,17.576539999999998,285.1988,TURNO 2,61.62908118827988
2020-08-19 16:09:40,19.19608,331.8691,TURNO 2,57.8423239765317
2020-08-19 16:14:46,21.04961,296.9893,TURNO 2,70.87666121304707
2020-08-19 16:19:43,20.43764,355.0186,TURNO 2,57.56780067297883
2020-08-19 16:24:38,21.15405,406.1288,TURNO 2,52.08704726185388
2020-08-19 16:29:45,22.78347,481.6049,TURNO 2,47.307388276157496
2020-08-19 16:34:41,23.50269,566.0117,TURNO 2,41.523328934719906
2020-08-19 16:39:37,24.13959,525.1936,TURNO 2,45.96322194329862
2020-08-19 16:44:44,23.09914,511.8317,TURNO 2,45.13034264974209
2020-08-19 16:49:40,26.00297,634.0942,TURNO 2,41.008055270021394
2020-08-19 16:54:47,27.49946,691.6511,TURNO 2,39.759150242080146
2020-08-19 16:59:43,27.646859999999997,665.4752,TURNO 2,41.544538399026735
2020-08-19 17:04:40,27.40295,672.4365,TURNO 2,40.75172897366517
2020-08-19 17:09:47,27.26548,717.4494,TURNO 2,38.00334908636066
2020-08-19 17:14:43,28.0471,680.2383,TURNO 2,41.231286153690554
2020-08-19 17:19:39,27.43948,564.3646,TURNO 2,48.62012961124776
2020-08-19 17:24:46,24.45203,538.1519,TURNO 2,45.43704110307889
2020-08-19 17:29:42,22.79447,540.7272,TURNO 2,42.15521246203261
2020-08-19 17:34:39,22.74235,548.9542,TURNO 2,41.42850168556866
2020-08-19 17:39:45,22.95877,548.0851,TURNO 2,41.889060658645896
